id,username,email,role,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
1,christopherramirez,christopherramirez@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2753.19,78148,2024-04-20,21:24:11,-41.597526,2.938894,1,55,266.75
2,qfoster,qfoster@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4644.26,13736,2024-06-12,01:45:25,-47.198006,-93.547372,1,74,340.4
3,rcollins,rcollins@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1902.41,72983,2024-01-10,02:47:19,17.674358,-27.972046,0,72,338.4
4,angela99,angela99@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4198.1,74922,2024-10-09,07:02:41,-33.290075,97.653333,1,69,293.25
5,andrea28,andrea28@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1647.97,37993,2024-02-22,00:42:51,-76.676958,-75.443578,1,46,195.5
6,cbishop,cbishop@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3815.43,14493,2024-08-15,22:36:24,56.716254,97.194471,0,96,432.0
7,garciaadam,garciaadam@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3264.23,17441,2024-05-15,03:34:56,63.005619,-174.725912,1,33,140.25
8,cooperedgar,cooperedgar@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3509.19,33901,2024-04-24,09:27:53,68.117565,-10.267201,0,34,153.0
9,michael35,michael35@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3841.42,43498,2024-08-16,17:19:56,-53.977793,140.583544,0,79,371.3
10,jamiehouston,jamiehouston@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3634.56,11698,2024-06-07,10:35:25,-64.792569,132.739293,0,76,342.0
11,dturner,dturner@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4534.94,62468,2024-06-10,21:30:50,-10.806397,-69.28501,0,17,82.45
12,schmidtjason,schmidtjason@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4213.72,72659,2024-08-20,10:16:21,-60.498089,115.238162,1,45,207.0
13,ewright,ewright@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1852.88,00884,2024-02-25,12:24:07,-56.182181,2.954752,1,76,368.6
14,kellybennett,kellybennett@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3577.39,30909,2024-04-17,13:28:13,-73.840999,86.592742,1,38,174.8
15,andersonkimberly,andersonkimberly@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4478.57,75805,2024-03-04,14:01:54,86.345195,-44.98256,0,88,396.0
16,richardjenkins,richardjenkins@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4279.23,77006,2024-01-01,23:48:23,85.212293,119.134792,1,71,326.6
17,gnunez,gnunez@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2710.7,07503,2024-10-16,04:06:31,58.920506,-120.635651,1,23,97.75
18,zsmith,zsmith@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1285.63,51257,2024-06-12,07:06:08,-7.184495,141.170696,0,29,123.25
