id,username,email,role,manager,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
1,sanasya,sanasya@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1659.75,44884,2024-03-19,00:40:41,85.616542,-136.94051,0,33,160.05
2,akshaya,akshaya@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3154.41,13710,2024-11-03,02:00:28,53.146209,-70.801287,0,23,111.55
3,mahitha,mahitha@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1232.04,70536,2024-09-29,17:23:30,-10.03756,100.836186,0,72,324.0
4,kruthika,kruthika@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4360.74,39992,2024-06-26,12:02:57,-61.51165,-48.264805,0,72,349.2
5,abhishek,abhishek@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3130.37,21285,2024-10-27,12:12:26,-4.944664,90.475375,0,34,159.8
6,shree,shree@gmail.com,Fleet Manager,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4391.93,05607,2024-08-22,23:42:22,58.552403,-70.77638,1,96,451.2
7,divya,divya@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3505.87,85125,2024-09-20,09:32:58,-60.919252,34.201469,0,29,123.25
8,manisha,manisha@gmail.com,Fleet Manager,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1984.26,77920,2024-01-27,07:30:09,-44.67125,-178.086591,1,25,115.0
9,teja,teja@gmail.com,Fleet Manager,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3037.86,28303,2024-10-26,21:18:52,43.268813,-72.46269,0,11,49.5
10,ram,ram@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4758.74,52742,2024-06-15,07:32:18,-75.367938,130.766183,0,30,145.5
11,sanasya,sanasya@gmail.com,Driver,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4594.05,11569,2024-05-19,15:34:09,-26.529869,-10.253869,0,55,247.5
12,akshaya,akshaya@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4140.05,16198,2024-03-13,01:52:32,5.792811,6.632784,1,84,407.4
13,mahitha,mahitha@gmail.com,Fleet Manager,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4507.22,37526,2024-06-04,05:09:58,46.776368,6.591149,1,83,381.8
14,kruthika,kruthika@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1190.95,33183,2024-11-19,16:05:15,-58.691773,-49.446534,0,85,382.5
15,abhishek,abhishek@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2417.06,00511,2024-08-21,00:00:25,69.888403,139.70035,0,84,394.8
16,shree,shree@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3474.94,03650,2024-10-28,17:23:34,-83.881051,-71.627915,1,75,318.75
17,divya,divya@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2941.75,50417,2024-01-20,13:25:25,-77.34252,-68.121146,0,70,322.0
18,manisha,manisha@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4655.23,37785,2024-11-21,20:18:51,-6.8678,42.267845,0,83,373.5
19,teja,teja@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2600.21,86492,2024-08-26,09:38:36,-67.249324,55.428506,0,18,84.6
20,ram,ram@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4307.92,85960,2024-11-16,17:56:51,-3.034283,67.135182,0,40,194.0
21,sanasya,sanasya@gmail.com,Fleet Manager,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1274.05,96703,2024-04-05,08:34:26,-59.736507,-73.894417,0,71,344.35
22,akshaya,akshaya@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3012.31,34038,2024-07-22,22:56:25,82.712367,50.992124,1,6,29.1
23,mahitha,mahitha@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3185.16,81851,2024-03-18,00:11:10,71.020441,-126.458812,0,47,227.95
24,kruthika,kruthika@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2478.34,02777,2024-06-01,10:22:30,-19.60308,-74.144835,0,12,55.2
25,abhishek,abhishek@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2092.57,48181,2024-08-16,15:56:42,-51.96666,-7.732032,0,33,148.5
